EmployeeIndex,P_stay,P_leave,Predicted_FutureSalary_PerformanceBased,ExpectedLoss
1,0.9891020650692588,0.010897934930741204,6386.305546923142,69.59754229820003
3,0.906178011110324,0.09382198888967597,5598.862431938014,525.2964088841126
4,0.5751969542811541,0.42480304571884586,2236.927766729442,950.2537283597228
5,0.922904075757548,0.07709592424245204,3193.8136886158577,246.23001818203448
6,0.9032785246829844,0.09672147531701558,3615.771003598081,349.72270587649245
7,0.8846638822112699,0.1153361177887301,3198.6918956370664,368.9247052450531
8,0.9296376776269396,0.07036232237306039,3170.540869971473,223.08661878989614
9,0.9688452483532246,0.03115475164677539,3127.2800964252565,97.42963473403266
10,0.9611851739869492,0.03881482601305075,10096.60384624263,391.8979216146067
11,0.7419812394045524,0.2580187605954476,5588.568887470151,1441.9556178473279
12,0.8540107688553427,0.14598923114465734,2511.6706611123664,366.6768687043876
13,0.9488601343185138,0.05113986568148621,4340.977580474864,221.99701039182753
15,0.9660696389117528,0.03393036108824721,3078.6997985216963,104.46139584615509
16,0.960312119129908,0.03968788087009201,2633.48285252862,104.51735372458594
17,0.8705367099429719,0.12946329005702806,2019.0462219936967,261.39236667651664
18,0.9982959983208044,0.0017040016791955992,10302.615035343291,17.555673320330797
19,0.8413511336861013,0.15864886631389874,3357.4361364268843,532.6534367654415
20,0.9982995484938708,0.0017004515061291858,3110.538219373109,5.2893194000053985
22,0.995455137327818,0.004544862672182015,15757.426742347663,71.61534061093855
23,0.9477851246922614,0.052214875307738606,3965.623513276077,207.06453726314666
24,0.8836385751763773,0.11636142482362266,4396.90178474431,511.62975648237733
25,0.9995948985581876,0.0004051014418123833,3787.7225308760735,1.5344118584431468
27,0.9730052843471032,0.026994715652896795,12619.390563452229,340.656859973242
28,0.9986363793115076,0.001363620688492384,1238.1351106838483,1.6883466520773034
29,0.9134653796923832,0.08653462030761683,3057.1221493494154,264.54690442795714
30,0.9185116689864482,0.0814883310135518,20115.86555468992,1639.208310944677
31,0.9963448356292424,0.0036551643707576353,4207.419650161464,15.37881039809574
32,0.8394754794893815,0.1605245205106185,7247.13865355767,1163.3434574363143
33,0.9841252664441312,0.01587473355586877,10566.873018112588,167.7462936812362
34,0.6110105062121719,0.3889894937878281,19720.54736035977,7671.085734925237
35,0.999276775169208,0.000723224830792013,2573.3637952678355,1.8611205953988728
37,0.9135444878899678,0.08645551211003222,7165.58676558491,619.5044733875128
38,0.636010974271327,0.363989025728673,2315.158294313236,842.6922119547312
39,0.957373039017264,0.042626960982735995,2120.384704563706,90.38555606982727
40,0.9819568263484816,0.018043173651518418,2466.928191505418,44.51121374515854
41,0.9684198710170496,0.03158012898295037,2675.3171457972217,84.4868605345749
43,0.9311267973644932,0.06887320263550678,2834.3755404134918,195.21252094002244
44,0.9551140045048004,0.04488599549519956,1990.009553511661,89.3235598543285
45,0.9935155321430812,0.0064844678569188074,3446.686189417337,22.34992580816269
46,0.8412661300098971,0.15873386999010286,5677.948414132341,901.2827253793937
47,0.7557422224604671,0.24425777753953293,2093.763253351791,511.41795895765046
48,0.720050665413329,0.27994933458667104,2470.3695313401067,691.5783064818493
49,0.9832491013891024,0.016750898610897624,2399.1508178726635,40.1879321024371
52,0.6720967328235479,0.32790326717645213,9079.801064212092,2977.2964342673718
53,0.8916398357865132,0.10836016421348682,4259.628499431396,461.57404368683456
55,0.9623261160595128,0.03767388394048721,20079.69912639084,756.4802544475508
56,0.9075998274032504,0.0924001725967496,4965.106271436968,458.7766764419797
58,0.989700811724957,0.010299188275042948,3508.341971106132,36.13307449365734
59,0.9950551718821448,0.004944828117855238,6357.898963539138,31.438717565391002
60,0.9028135358600218,0.09718646413997822,2256.2381355431253,219.27580665121326
61,0.6388519397438509,0.3611480602561491,5704.69038824848,2060.2378680778365
